****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Wed Mar 27 20:41:33 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
aes_cipher_top                        2.43e-03 1.52e-03 2.98e-06  3.96e-03 100.0
  sa31_reg_3_ (WDDLDFFMS)             4.06e-06 5.59e-07 2.01e-09  4.62e-06   0.1
  text_out_reg_35_ (WDDLDFFMS)        3.69e-06 1.02e-07 2.02e-09  3.79e-06   0.1
  text_out_reg_75_ (WDDLDFFMS)        3.88e-06 6.80e-08 2.01e-09  3.95e-06   0.1
  text_out_reg_107_ (WDDLDFFMS)       3.61e-06 6.80e-08 2.00e-09  3.68e-06   0.1
  sa10_reg_4_ (WDDLDFFMS)             4.41e-06 6.70e-07 2.05e-09  5.08e-06   0.1
  sa31_reg_4_ (WDDLDFFMS)             4.43e-06 4.76e-07 2.04e-09  4.90e-06   0.1
  text_out_reg_36_ (WDDLDFFMS)        3.86e-06 6.80e-08 2.01e-09  3.93e-06   0.1
  text_out_reg_76_ (WDDLDFFMS)        3.97e-06 6.80e-08 2.04e-09  4.04e-06   0.1
  text_out_reg_108_ (WDDLDFFMS)       4.49e-06 1.36e-07 2.06e-09  4.62e-06   0.1
  sa10_reg_5_ (WDDLDFFMS)             3.91e-06 2.00e-07 2.00e-09  4.11e-06   0.1
  sa00_reg_0_ (WDDLDFFMS)             4.02e-06 2.99e-07 1.98e-09  4.32e-06   0.1
  sa31_reg_5_ (WDDLDFFMS)             4.57e-06 3.99e-07 2.05e-09  4.97e-06   0.1
  sa21_reg_0_ (WDDLDFFMS)             3.76e-06 1.99e-07 2.01e-09  3.96e-06   0.1
  text_out_reg_37_ (WDDLDFFMS)        4.06e-06 1.02e-07 2.03e-09  4.17e-06   0.1
